"Code","Name","Address","Phone","Fax","Email","Website","City","Lat","Lon"
2108,"Cabo Ruivo","Rua de Montepuez nº. 1 Olivais Sul 1800-275 Lisboa",218533632,218533071,"bvcaboruivo@hotmail.com",,"Lisboa",,
2201,"Porto Sapadores","Rua da Constituição nº. 1418 - 4250-161 Porto",225073700,225073705,,,"Porto",,
2202,"Porto Voluntários","Rua Rodrigues Sampaio, 153 4000-425 Porto",222055845,222080366,"bvporto@netcabo.pt",,"Porto",,
2203,"Portuenses","Rua das Cruzes, 580 4100-191 Porto",226151800,226151807,"bvportuenses@clix.pt",,"Porto",,
2204,"B.P.Meridien","Av. da Boavista, 1466 4100-114 Porto",226072500,226002031,"carlos.vigo@lemeridien.pt",,"Porto",,
2301,"Angra do Heroismo","Praça Doutor Sousa Júnior, 9700070 Angra Heroísmo",295212333,295204119,,,"Angra do Heroísmo",,
2302,"Calheta","Rua Manuel Machado Pacheco 9850041 CALHETA (São Jorge)",,,,,"Calheta",,
2303,"Faialenses","Rua dos Bombeiros Voluntários 9900099 Horta",292200850,292200852,"geral@bombeiros-faialenses.net","www.bombeiros-faialenses.net/","Horta",,
2304,"Ilha do Corvo","Rua dos Moinhos 9980032 Corvo",292596229,292596280,,,"Ilha do Corvo",,
2305,"Ilha Graciosa","Rua das Dores 9880-310 Santa Cruz da Graciosa",295712215,,,,"Santa Cruz da Graciosa",,
2306,"Lajes do Pico","Largo São Pedro 9 9930-136 Lages do Pico",292672299,,,,"Lajes do Pico",,
2307,"Madalena","Rua Colégio 54, Madalena 9950 Madalena (Pico)",292628300,292628308,"bvmadalena@mail.telepac.pt",,"Madalena",,
2309,"Ponta Delgada","Rua de São Gonçalo, 230 9500-344 Ponta De Largoada",296301313,296301317,"scomando@bvpd.pt","www.bvpd.pt","Ponta Delgada",,
2311,"Praia da Vitória","Largo Conde Praia Vitória 9760-438 Praia da Vitória",295540220,295540227,"comando@bombeirospraia.com","www.bombeirospraia.com","Vila da Praia da Vitória",,
2310,"Povoação","Largo Jardim Municipal Povoação 9650-430 Povoação",296550050,296550052,"bvpovoacao@gmail.com",,"Povoação",,
2313,"Santa Cruz das Flores","Estrada Nacional Monte 9970-265 Santa Cruz Das Flores",292590090,292590098,"direccaoahbvcf@sapo.pt",,"Santa Cruz das Flores",,
1129,"Parede","Av. dos Bombeiros Voluntários nº.142 2775-168 Parede",214574585,214580437,"B.V.Parede@netcabo.pt",,"Cascais",,
2342,"B.P. Ana - Porto Santos","Aeroporto de Porto Santo 9400 - Porto Santos",291980124,291520710,"anam@srpcbm.pt / mhcastanheira@anam.pt","www.anam.pt","Porto Santo",,
125,"Murtosa","Av. Do Emigrante 3780-153 Murtosa",234865666,234866089,"secretaria@bombeirosmurtosa.pt","www.bombeirosmurtosa.pt","Murtosa",,
2341,"B.P. Ana - Madeira","Aeroporto Internacional da Madeira 9100-105 Santa Cruz",962015684,291520710,"anam@srpcbm.pt / mhcastanheira@anam.pt","www.anam.pt","Santa Cruz",,
1520,"Concelho do Seixal","Alameda dos Bombeiros Voluntários 2840- 395 Seixal",212279530,212279548,"maria.deodata@bvseixal.pt","www.bvseixal.pt","Seixal",,
2327,"Porto Santo","Rua Berta Moura Teixeira Aguiar 9400-154 Porto Santo",291982115,291983924,"bvps@srpcbm.pt",,"Porto Santo",,
2326,"São Vicente e Porto Moniz","Sítio do Pé do Passo - São Vicente 9240039 São Vicente",291842115,291842586,"bvsvpm@srpcbm.pt",,"São Vicente",,
2325,"Santana","Rua da Achada do Pampilhar 9230083 Santana",291570112,291570119,"bvs@srpcbm.pt",,"Santana",,
2324,"Santa Cruz Municipais","Av. 25 de Junho 9100-185 Santa Cruz",291520210,291520211,"bmsc@srpcbm.pt",,"Santa Cruz",,
2323,"Ribeira Brava","Estrada Regional 104, nº. 3 9350-203 Ribeira Brava",291952288,291951655,"bvrb@srpcbm.pt",,"Ribeira Brava",,
2322,"Madeirenses","Rua do Matadouro nº. 1 9050-100 Funchal",291223056,291225113,"bvm@srpcbm.pt","http://members.netmadeira.com/bvm/","Funchal",,
2321,"Machico Municipais","Caminho da Ribeira, nº.13 9200 075 Machico",291965183,291966267,"bmmachico@mail.telepac.pt / bmm@srpcbm.pt",,"Machico",,
2320,"Funchal Municipais","Av. Calouste Gulbenkian 9000011 Funchal",291200930,291232228,"bmf@srpcbm.pt",,"Funchal",,
2319,"Câmara de Lobos","Rua da Carreira nº. 11 9300039 Camara de Lobos",291911444,291911449,"bvcl@srpcbm.pt","http://members.netmadeira.com/bv-cl/","Câmara de Lobos",,
2318,"Calheta","Ladeira, Lamaceiros Arco da Calheta 9370027 Calheta",291827204,291827392,"bvc@srpcbm.pt",,"Calheta",,
2317,"Vila Franca do Campo","Av. Bombeiros Voluntários - Vila Franca do Campo",296539900,,,,"Vila Franca do Campo",,
2316,"Velas","Av. do Livramento - Velas 9800-502 Velas",295412115,295412916,,,"Velas",,
127,"B.P.Vista Alegre","Chousa Nova 3830-133 Ílhavo",234320500,234320590,"luis.bairrada@portucelsoporcel.com",,"Ílhavo",,
2314,"Santa Maria","Flor R Baixa-Vila Porto 9580-477 Vila do Porto",296882373,296882410,"bvsantamaria@gmail.com",,"Santa Maria",,
2315,"São Roque do Pico","Rua Doutor Tibério A Brasil 9940-365 São Roque do Pico",292642250,,,,"São Roque do Pico",,
2312,"Ribeira Grande","Rua dos Bombeiros Voluntários - Ribeira Grande",296472318,,,,"Ribeira Grande",,
1005,"São Martinho do Porto","Rua Bombeiros Voluntários 2460-654 São Martinho do Porto",262989862,262980383,,,"Alcobaça",,
1006,"Pombal","Av. Heróis do Ultramar 3100-462 Pombal",236212122,236200925,"bvpombal@mail.telepac.pt",,"Pombal",,
1007,"Bombarral","Rua Comandante Evaristo Judicibus 2540092 Bombarral",262601681,262604104,"bvb@netvisao.pt","www.bvb.pt","Bombarral",,
2106,"Cruz de Malta","Largo do Leão nº. 11 1181-188 Lisboa",218478293,218461147,"bvcruzdemalta@hotmail.com","http://www.bvcruzdemalta.com.sapo.pt","Lisboa",,
2107,"Beato e Olivais","Rua do Grilo nº. 38-40 1900-706 Lisboa",218688304,218683851,"Comando.beato.olivais@gmail.com",,"Lisboa",,
1814,"Mangualde","Av. da Liberdade, nº. 26/32 3530-113 Mangualde",232619610,232619619,"comandante@abvmangualde.com",,"Mangualde",,
1815,"Farejinhas","Rua dos Bombeiros Voluntários 3600-272 Farejinhas",232382404,232386248,,,"Castro Daire",,
1816,"Oliveira de Frades","Rua 7 de Outubro nº.7 3680-116 Oliveira de Frades",232760230,232763736,"bvofcte@hotmail.com",,"Oliveira de Frades",,
1817,"Canas de Senhorim","Largo do Cruzeiro nº. 1 3525013 Canas de Senhorim",232671272,232673805,"geral@bvcanas.com","www.bvcanas.com","Nelas",,
1818,"Armamar","Av. D. Oliveira Salazar, 14 5110-122 Armamar",254855209,254855157,"ahbvarmamar@mail.telepac.pt",,"Armamar",,
1819,"Cabanas Viriato","Rua de Viriato nº. 319 3430-649 Cabanas Viriato",232691129,232691573,"ahbvcabanasdeviriato@mail.telepac.pt","www.bvcabanas.com","Carregal do Sal",,
1820,"Tabuaço","Av. Marechal Carmona 5120 - 385 Tabuaço",254789108,254789853,"secretaria@bvtabuaco.pt","http://www.bvtabuaco.pt","Tabuaço",,
1821,"Carregal Sal","Av. Bombeiros 3430-155 Carregal do Sal",232968250,232969985,"geral@bvcaregal.com","www.bvcarregal.com","Carregal do Sal",,
1822,"Penalva Castelo","Rua1º de Dezembro 3550-135 Penalva do Castelo3550",232641444,232642606,,,"Penalva do Castelo",,
1823,"Resende","Rua D. Francisco Sá Carneiro 4660-226 Resende",254877122,254871125,"bvresende@sapo.pt",,"Resende",,
1824,"Ervedosa Douro","Rua Nossa Senhora do Socorro 5130067 Ervedosa do Douro",254423280,254423145,"bv.ervedosa@oninet.pt",,"São João da Pesqueira",,
1825,"Sernancelhe","Largo Gabriel Azevedo 3640 -220 Sernamcelhe",254595455,254595333,"bombeirossernancelhe@gmail.com",,"Sernancelhe",,
1826,"Cinfães","Rua Coronel Numa Pompilio nº.35 4690033",255561567,255562407,,,"Cinfães",,
1827,"Penedono","Av. Adriano de Almeida 3630 - 225 Penedono",254504120,254505004,,,"Penedono",,
1828,"Nespereira","Rua Feira Franca 4690 -363 Nespereira Cinfães",256955445,256955445,"bvnespereira@sapo.pt",,"Cinfães",,
1829,"Tarouca","Rua Bombeiros Voluntários 3610-106 Tarouca",254679238,254678242,,,"Tarouca",,
1830,"Vila Nova Paiva","Campo da Restauração 3650-217 Vila Nova de Paiva",232604181,232604854,"bvnp@sapo.pt",,"Vila Nova de Paiva",,
1831,"Sátão","Rua dos Bombeiros Voluntários 3560-170 Sátão",232981325,232982350,"bvsatao@oninet.pt","www.sdbvsatao.blogspot.com","Sátão",,
1832,"Vale Besteiros","Av. D. João Almiro 3456056 Campo de Besteiros",232851115,232851758,,,"Tondela",,
1833,"Santa Cruz Trapa","Vila Nova - Santa Cruz da Trapa 3660-259 St. Cruz Trapa",232798115,232798126,,,"São Pedro do Sul",,
2101,"R.S.B.Lisboa","Av. D. Carlos I 1249071 Lisboa",808215215,218171313,"rsb.relacoespublicas@cm-lisboa.pt",,"Lisboa",,
2102,"Lisboa","Largo Barão Quintela nº. 7 1200-194 Lisboa",213460475,213424408,"geral@bv-lisboa.pt","www.bv-lisboa.pt","Lisboa",,
2103,"Ajuda","Praça da Alegria nº. 27-31 1250004 Lisboa",213219400,213427070,,,"Lisboa",,
2104,"Lisbonenses","Rua Camilo Castelo Branco nº. 33-35-37 1150083 Lisboa",213512500,213512509,"geral.blisbonenses@sapo.pt",,"Lisboa",,
2105,"Campo de Ourique","Rua Francisco Metrass, nº.48 e 48-A 1350-145 Lisboa",213841880,213841661,,"www.bvcampodeourique.no.sapo.pt","Lisboa",,
1125,"Queluz","Rua D. Pedro IV 2745-201 Queluz",214346990,214346999,"comandobvq@mail.telepac.pt","www.bombeirosdequeluz.pt","Sintra",,
1126,"Estoril","Av. dos Bombeiros Voluntários nº. 3 2675-202 Estoril",214659190,214660115,"abve.comando@mail.telepac.pt","http://abve.atspace.com/","Cascais",,
1127,"Camarate","Rua dos Bombeiros Voluntários Camarate 2680020 Camarate",219472020,219470422,"bvccomando1127@gmail.com","www.bvcamarate.com","Loures",,
1128,"Belas","Rua Eduardo Ferreira Pinto Basto 2745 Belas",214311715,214311740,"bvbelas@netcabo.pt",,"Sintra",,
1130,"Alverca","Rua Bombeiros Voluntários 2615052 Alverca",219581551,219571078,"geral@bvalverca.pt","http://www.bvalverca.pt","Vila Franca de Xira",,
1131,"Alcabideche","Rua dos Bombeiros Voluntários, nº. 159 2645030 Alcabideche",214607950,214607957,"geral@ahbva.pt","http://www.ahbva.pt","Cascais",,
1018,"Batalha","Rua dos Bombeiros 2440-117 Batalha",244768500,244765095,"geral@bv-batalha.pt ou direccao@bv-batalha.pt",,"Batalha",,
1019,"Pataias","Largo Escolas Velhas-Pataias 2445-260 Pataias",244589286,244587249,"geral@bvpatais.pt",,"Alcobaça",,
1020,"Maceira Liz","Rua Leiria-Maceira-Liz 2405018 Maceira Liz",244770009,244770000,"bombeiros.maceira@gmail.com","http://www.bombeirosmaceira.pt","Leiria",,
1021,"Mira De Aire","Bairro Santos Moleiro 2485031 Mira de Aire",244440115,244449123,"bvmiradeaire@sapo.pt",,"Porto de Mós",,
1022,"Leiria","Rua da Liberdade - Outeiros da Gândara Olivais 2400-435 Leiria",244882015,244861610,"bvleiria.comando@sapo.pt",,"Leiria",,
1023,"Juncal","Rua dos Bombeiros 2480079 Juncal",244470115,244470000,"bvjuncal@sapo.pt",,"Porto de Mós",,
1024,"Benedita","Av. Padre Inácio Antunes 2475-102 Benedita",262925500,262925505,"comando.bvb@mail.telepac.pt",,"Alcobaça",,
602,"Figueira da Foz Municipais","Largo Padre Arménio Marques 3080078 Figueira da Foz",233402800,233402809,"cbm@cm-figfoz.pt",,"Figueira da Foz",,
603,"Figueira da Foz Voluntários","Rua Herois do Ultramar apart.2158 3081-902 Figueira da Foz",233402260,233420010,,,"Figueira da Foz",,
604,"Coimbra Voluntários","Av. Fernão Magalhães, nº.176 Apart. 206 3001-903 Coimbra",239822383,239825590,,,"Coimbra",,
605,"Cantanhede","Rua Bombeiros Voluntários 3060-163 Cantanhede",231422122,231423313,,,"Cantanhede",,
606,"Lousã Municipais","Av. D. José Maria Cardoso Apart. 4 3200-259 Lousã",239990530,239990539,"geral@cm-lousa.pt",,"Lousã",,
607,"Soure","Praça da República 3130-218 Soure",239506300,239501164,"secretaria@bvsoure.com","www.bvsoure.com","Soure",,
608,"Oliveira do Hospital","Av. D.Carlos Campos 3400058 Oliveira do Hospital",238602707,238604290,"o.hospital@gmail.com","www.bvoliveiradohospital.com","Oliveira do Hospital",,
609,"Condeixa a Nova","Av. Visconde Alverca - 3150-120 Condeixa-a-Nova",239942115,239944568,"bvcondeixa@clix.pt",,"Condeixa-a-Nova",,
1813,"Moimenta da Beira","Av. de S. João, nº. 1 3620-307 Moimenta da Beira",254582153,254582609,"bv.mbeira@mail.telepac.pt","http://bombeirosvmoimentadabeira.blogspot.com/","Moimenta da Beira",,
1812,"S.P.S.Pedro do Sul","Rua bandeira Melo 3660-442 São Pedro do Sul",232711115,232712172,"comandante@salvacaopublicasps.com","www.salvacaopublicasps.com","São Pedro do Sul",,
1811,"Mortágua","Av. dos Bombeiros Voluntários 3450-122 Mortágua",231920122,231920172,,,"Mortágua",,
1810,"Tondela","Rua dos Bombeiros Voluntáriosnº. 12 3460-572 Tondela",232814110,232814114,"bombeiros.tondela@hotmail.com",,"Tondela",,
1809,"Nelas","Rua D. Abel Pais Cabral 3520032 Nelas",232941250,232941259,"inf@bvnelas.com",,"Nelas",,
1808,"Santa Comba Dão","Av. Sá Carneiro 3440-374 Santa Comba Dão",232881342,232882333,,,"Santa Comba Dão",,
1806,"Viseense","Rua José Branquinho 3510 - 001 Viseu",232422047,232425935,"geral@bombeirosvoluntariosviseu.org","www.bombeirosvoluntariosviseu.org/","Viseu",,
1807,"São João Pesqueira","Av. Marquês Soveral 5130-321 São João Pesqueira",254484293,254484890,"bvsjp@sapo.pt",,"São João da Pesqueira",,
1805,"Vouzela","Rua dos Bombeiros Voluntários nº. 22 3670-277 Vouzela",232772096,232772486,"bombeirosvouzela@mail.telepac.pt",,"Vouzela",,
1804,"São Pedro Sul","Rua Serpa Pinto 3660-502 São Pedro Sul",232720110,232723922,"bvsp@clix.pt",,"São Pedro do Sul",,
1802,"Lamego","Rua dos Bombeiros Voluntários 5100-119 Lamego",254609122,254655959,"bvlamego.cmdt@gmail.com","www.bvlamego.com","Lamego",,
1803,"Castro Daire","Av. dos Bombeiros Voluntários 3600-140 Castro Daire",232319050,232319055,"bvcdairecomando@sapo.pt","www.bvcd.pt","Castro Daire",,
1801,"Viseu Municipais","Praça D. João I 3510015 Viseu",232436216,232425859,,,"Viseu",,
1727,"Salto","Rua Central 5470-430 Salto",253659444,253659444,,,"Montalegre",,
