Code,Type,Number,Brand,Model,Cc,Year,Comment,Picture
"1312","VSAT","1","TOYOTA","DYNA 280 31BUE4","450","1998","-","1312-VSAT1.jpg"
"1312","VLCI","1","LAND ROVER","130 2.5 TD5 DEFENDER","500","2000","-","1312-VLCI1.jpg"
"1312","VLCI","3","UMM","ALTER 4X4 D","500","1990","-","1312-VLCI3.jpg"
"1312","VFCI","1","IVECO","80E17 WM","2800","1994","-","falta.jpg"
"1312","VUCI","8","IVECO","ML150E28 EUROCARGO","2500","2002","-","1312-VUCI8.jpg"
"1312","VRCI","4","TOYOTA","DYNA BU96L3DDT3","2800","1991","-","1312-VRCI4.jpg"
"1312","VUCI","1","VOLVO","F6S-45 CD","5000","1985","-","1312-VUCI1.jpg"
"1312","VTTU","1","SCANIA","93M 250","10000","1989","-","1312-VTTU1.jpg"
"1312","VE30","1","MAGIRUS DEUTZ","FM192D13F","0","1980","-","falta.jpg"
"1312","ABSC","1","RENAULT","MASTER DCI 100","0","2004","-","1312-ABSC1.jpg"
"1312","VCOT","1","NISSAN","PATROL JP260SFQ","0","1997","-","1312-VCOT1.jpg"
"1312","ABTM","1","RENAULT","MASTER 2.8 DTI","0","1999","-","falta.jpg"
"1312","ABCI","1","RENAULT","MASTER DCI 120","0","2003","-","1312-ABCI1.jpg"
"1312","BRTS","1","VALIANT","V490","0","2000","-","falta.jpg"
"1312","ABTM","3","RENAULT","MASTER DCI 100","0","2004","-","1312-ABTM3.jpg"
"1312","ABSC","3","RENAULT","TRAFIC TBX605","0","1997","-","1312-ABSC3.jpg"
"1312","ABSC","4","IVECO","35E8VA(T1.88)RS DAIL","0","1998","-","1312-ABSC4.jpg"
"1312","ABTM","8","RENAULT","MASTER 2.8 DTI","0","1998","-","1312-ABTM8.jpg"
"1312","ABSC","8","RENAULT","MASTER DCI 120","0","2003","-","1312-ABSC8.jpg"
"1312","ABSC","9","RENAULT","MASTER 2.8 DTI","0","1998","-","falta.jpg"
"1312","ABTM","9","RENAULT","MASTER 2.8 DTI","0","2002","-","1312-ABTM9.jpg"
"1312","ABTM","10","RENAULT","MASTER 2.8 DTI","0","2002","-","1312-ABTM10.jpg"
"1312","ABTM","11","RENAULT","MASTER DCI 120","0","2003","-","1312-ABTM11.jpg"
"1312","VFCI","5","IVECO","80E17 WM","2800","1994","-","1312-VFCI5.jpg"
"1312","VLCI","6","LAND ROVER","130 2.5 TD5 DEFENDER","500","1998","-","1312-VLCI6.jpg"
"1312","VLCI","7","LAND ROVER","130 2.5 TDS DEFENDER","500","2000","-","1312-VLCI7.jpg"
"1312","VTTU","2","M.A.N.","26422","15000","1993","-","1312-VTTU2.jpg"
