Code,Type,Number,Brand,Model,Cc,Year,Comment,Picture
"910","ABTD","4","MERCEDES BENZ","208D/30","0","1991","-","0910-ABTD4.jpg"
"1114","VUCI","1","SCANIA","94D 260 CREWCAB","3500","2001","-","1114-VUCI1.jpg"
"910","ABTD","7","VOLKSWAGEN","TRANSPORTER T4 2.4D","0","1992","-","0910-ABTD7.jpg"
"910","ABSC","1","RENAULT","MASTER T33 2.3DTI","0","1998","-","0910-ABSC1.jpg"
"1114","VTTU","3","VOLVO","F7","16000","1980","-","1114-VTTU3.jpg"
"1114","VTTU","2","VOLVO","F7","16000","1980","-","1114-VTTU2.jpg"
"910","ABSC","2","IVECO","40E10 OWA35 TURBODAI","0","1990","-","0910-ABSC2.jpg"
"910","ABTD","9","MERCEDES BENZ","108D/30 VITO","0","1997","-","0910-ABTD9.jpg"
"913","ABSC","1","IVECO","DAILY 30E8","0","1998",,"0913-ABSC1.jpg"
"913","ABTD","1","MERCEDES","300D BINZ","0","1995",,"0913-ABTD1.jpg"
"913","ABTD","2","VW","TRANSPORTER","0","1994",,"0913-ABTD2.jpg"
"913","ABTD","3","CITROEN","1400D","0","1985",,"0913-ABTD3.jpg"
"913","VCOT","1","NISSAN","PATROL","0","1995",,"0913-VCOT1.jpg"
"901","VTTR","1","MERCEDES","LAF1113B","0","1968","-","0901-VTTR.jpg"
"901","VTTU","1","MERCEDES BENZ","-","0","2000","-","0901-VTTU1.jpg"
"901","VUCI","1","MERCEDES BENZ","1222","3500","1992","-","0901-VUCI 01.jpg"
"901","VLCI","1","LAND ROVER","110 2.5 TDI DEFENDER","600","1996","-","0901-VLCI1.jpg"
"901","VLCI","2","LAND ROVER","130 2.5 TD5 DEFENDER","620","2000","-","0901-VLCI2.jpg"
"901","VSAT","1","MERCEDES BENZ","412D/35 SPRINTER","600","1998","-","0901-VSAT1.jpg"
"901","VFCI","1","MERCEDES BENZ","UNIMOG U2150 L","3000","1994","-","0901-VFCI1.jpg"
"901","VE30","1","MAGIRUS DEUTZ","MERCUR 25","0","1963","-","0901-VE.jpg"
"901","VE30","2","MERCEDES BENZ","1323 970.06 ATEGO","0","2000","-","0901-VE30.jpg"
"901","VTPT","1","LAND ROVER","110 DEFENDER","0","1988","-","0901-TPL3.jpg"
"901","VCOT","1","NISSAN","PATROL JP260SFQ","0","1995","-","0901-VCOT1.jpg"
"901","ABSC","7","MERCEDES BENZ","-","0","2000","-","0901-ABSC 07.jpg"
"907","VLCI","1","TOYOTA","HI-LUX 33 LNA 2.4D","600","1992","-","0907-VLCI 01.jpg"
"901","VFCI","2","M.A.N","-","3000","2000","-","0901-VFCI 02.jpg"
"901","ABSC","6","FORD","-","0","2000","-","0901-ABSC6.jpg"
"901","ABSC","5","LAND ROVER","130 2.5 TD5 DEFENDER","0","2000","-","0901-ABSC5.jpg"
"901","ABSC","2","IVECO","35E8 VA DAILY","0","1997","-","0901-ABSC2.jpg"
"901","ABSC","3","MERCEDES BENZ","208D/30 SPRINTER","0","1997","-","0901-ABSC3.jpg"
"901","ABSC","4","MERCEDES BENZ","208D/30","0","1992","-","0901-ABSC4.jpg"
"909","ABSC","2","IVECO","40E10 OWA35 TURBODAI","0","1998","-","0909-ABSC 02.jpg"
"909","ABTD","7","TOYOTA","HIACE 21LHA2 DIESEL","0","1993","-","0909-ABTD 07.jpg"
"909","ABTD","9","MERCEDES-BENZ","VITO","0","2000","-","0909-ABTD 09.jpg"
"909","ABTD","10","MERCEDES-BENZ","SPRINTER","0","2000","-","0909-ABTD 10.jpg"
"909","VCOT","1","NISSAN","TERRANO II S 2.7 TDI","0","1998","-","0909-VCOT 01.jpg"
"909","ABTD","8","TOYOTA","HIACE 21LHA2 DIESEL","0","1993","-","0909 ABTD08.jpg"
"909","VFCI","1","MERCEDES-BENZ","UNIMOG","0","2000","-","0909-VFCI 01.jpg"
"909","ABTD","5","TOYOTA","HIACE VLH51V DIESEL","0","1988","-","0909 ABTD05.jpg"
